,id_provincia,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,id_carroceria,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo,id_tipo_cambio
57,15,15779,25,1,37.0,20500.0,,,,,,3,,,,5,,,,,1,1.0,,,125.0,,,,11,2022,,,4,7,55,2
58,15,41000,25,1,12.0,24900.0,39400.0,4750.0,1860.0,1410.0,487.0,2,5.0,2.79,2.0,5,5.0,4.3,6.3,45.0,1,1.598,8.0,133.0,180.0,250.0,210.0,8.8,6,2020,112.0,4.0,2,6,56,1
59,16,19600,26,1,12.0,25900.0,32925.0,4500.0,1865.0,1651.0,620.0,4,5.0,2.68,2.05,5,0.0,0.0,0.0,54.0,1,1.598,6.0,110.0,150.0,250.0,189.0,10.6,3,2022,,4.0,3,20,57,2
60,16,84700,26,1,12.0,16900.0,24080.0,4363.0,1841.0,1601.0,510.0,4,5.0,2.638,1.83,5,5.2,4.6,6.2,50.0,1,,6.0,85.0,115.0,200.0,183.0,11.0,8,2017,119.0,3.0,2,23,58,2
61,17,9000,27,2,12.0,64900.0,,,,,,3,,,,5,,,,,8,,,,325.0,,,,1,2023,,,4,9,59,1
62,3,177000,28,1,12.0,12490.0,27549.0,4109.0,1786.0,1518.0,330.0,2,4.0,2.596,1.85,3,4.7,4.4,5.2,47.0,3,1.598,6.0,82.0,112.0,270.0,183.0,11.5,1,2017,123.0,4.0,2,15,60,2
63,3,152000,28,1,12.0,24990.0,62834.0,4410.0,1841.0,1580.0,356.0,4,5.0,2.603,2.215,5,8.8,6.9,12.2,64.0,1,2.48,7.0,228.0,310.0,450.0,250.0,5.2,1,2014,206.0,5.0,3,16,61,1
64,3,177000,28,1,12.0,12490.0,27549.0,4109.0,1786.0,1518.0,330.0,2,4.0,2.596,1.85,3,4.7,4.4,5.2,47.0,3,1.598,6.0,82.0,112.0,270.0,183.0,11.5,1,2017,123.0,4.0,2,15,60,2
65,3,152000,28,1,12.0,24990.0,62834.0,4410.0,1841.0,1580.0,356.0,4,5.0,2.603,2.215,5,8.8,6.9,12.2,64.0,1,2.48,7.0,228.0,310.0,450.0,250.0,5.2,1,2014,206.0,5.0,3,16,61,1
66,18,7842,29,4,36.0,46900.0,,,,,,3,,,1.8,5,1.0,1.0,1.0,,7,1.332,8.0,,163.0,,,,12,2023,,,4,10,62,1
67,13,11800,30,2,36.0,43300.0,58502.0,4684.0,1834.0,1654.0,495.0,4,5.0,2.829,2.54,5,0.0,0.0,0.0,0.0,4,,1.0,140.0,190.0,385.0,160.0,8.9,1,2024,,,5,10,63,2
68,13,13900,30,3,36.0,33900.0,,,,,,8,,,1.53,5,5.0,5.0,5.0,,5,1.95,8.0,,116.0,,,,4,2023,,,4,10,64,1
69,13,144000,31,1,12.0,16950.0,42150.0,4709.0,1827.0,1440.0,500.0,5,5.0,2.851,2.19,5,4.5,4.0,5.3,59.0,3,1.995,6.0,110.0,150.0,320.0,230.0,8.0,8,2019,116.0,4.0,3,9,65,2
70,13,30000,31,2,12.0,21950.0,34200.0,3845.0,1727.0,1432.0,211.0,2,4.0,2.495,1.775,3,0.0,0.0,0.0,0.0,4,,1.0,135.0,184.0,270.0,150.0,7.3,6,2021,,,5,15,66,2
71,8,148000,32,5,12.0,11990.0,31290.0,4769.0,1820.0,1470.0,565.0,2,5.0,2.712,2.1,4,4.6,3.7,6.0,70.0,3,1.968,6.0,103.0,140.0,320.0,211.0,9.8,10,2013,119.0,4.0,2,3,67,2
72,8,238000,32,5,12.0,4990.0,21500.0,3838.0,1764.0,1593.0,435.0,2,5.0,2.568,1.745,3,5.2,4.6,6.4,54.0,3,1.991,6.0,80.0,109.0,250.0,186.0,10.8,5,2006,137.0,4.0,3,10,68,2
73,8,91105,33,2,12.0,19190.0,,,,,,8,,,,5,,,,,8,,,,136.0,,,,7,2019,,,4,17,69,1
74,8,4814,33,2,12.0,29990.0,52900.0,4495.0,1840.0,1545.0,367.0,4,5.0,2.64,2.335,5,0.0,0.0,0.0,0.0,4,,,150.0,204.0,300.0,160.0,7.5,12,2021,,,5,24,70,2
75,8,52985,34,1,12.0,13900.0,26152.0,4217.0,1825.0,1605.0,410.0,4,5.0,2.604,1.77,5,4.8,4.1,5.8,45.0,1,1.199,6.0,81.0,110.0,205.0,187.0,10.9,12,2021,109.0,3.0,3,25,71,2
76,8,47559,34,1,12.0,18900.0,31000.0,4447.0,1841.0,1620.0,520.0,4,5.0,2.675,1.91,5,5.3,4.8,6.1,53.0,1,1.199,6.0,96.0,130.0,230.0,188.0,10.8,12,2019,114.0,3.0,5,6,72,2
77,12,118300,35,1,12.0,15400.0,32063.0,4767.0,1832.0,1456.0,586.0,2,5.0,2.791,1.99,4,4.0,3.6,4.7,66.0,3,1.598,6.0,88.0,120.0,250.0,206.0,10.8,6,2018,105.0,4.0,3,3,73,2
78,12,79900,35,1,12.0,18600.0,,,,,,8,,,,5,,,,,1,1.58,,,141.0,,,,6,2021,,,4,20,74,1
79,19,86500,36,1,12.0,13900.0,18740.0,4159.0,1739.0,1570.0,360.0,4,5.0,2.537,1.59,5,5.0,4.5,5.8,50.0,1,1.199,5.0,60.0,82.0,118.0,168.0,13.5,1,2019,114.0,3.0,5,6,75,2
